seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_empathic_reward_0,total_empathic_reward_1,total_combined_reward_0,total_combined_reward_1
2,0,500,1.0,100,500,53.999999999999716,-410.00000000000034,-177.99999999999986,44.999999999999865,-392.00000000000045,-173.50000000000017
2,1,500,1.0,100,500,45.99999999999988,-394.0000000000005,-174.00000000000017,52.99999999999985,-408.0000000000001,-177.4999999999998
2,2,451,0.0,100,500,52.549999999999905,-357.0000000000005,-152.225,46.9999999999998,-346.8000000000004,-149.90000000000003
2,3,306,0.0,100,500,40.54999999999993,-187.99999999999983,-73.72499999999994,58.99999999999981,-225.8,-83.40000000000009
2,4,410,0.0,100,500,53.54999999999983,-318.0000000000001,-132.2250000000001,45.99999999999983,-303.8000000000003,-128.89999999999992
2,5,413,0.0,100,500,67.54999999999978,-349.0000000000002,-140.72500000000005,32.00000000000008,-278.8,-123.39999999999992
2,6,306,0.0,100,500,53.99999999999989,-215.79999999999993,-80.89999999999996,45.54999999999985,-198.00000000000003,-76.22500000000005
2,7,500,1.0,100,500,51.999999999999865,-406.0,-176.9999999999999,46.99999999999995,-396.0000000000002,-174.5000000000001
2,8,272,0.0,100,500,41.54999999999984,-155.99999999999986,-57.22500000000001,57.99999999999984,-189.80000000000013,-65.90000000000005
2,9,348,0.0,100,500,48.99999999999974,-247.8000000000002,-99.40000000000003,50.54999999999984,-250.00000000000014,-99.72499999999997
2,10,382,0.0,100,500,61.549999999999905,-306.00000000000034,-122.22499999999997,37.999999999999915,-259.8,-110.89999999999998
2,11,332,0.0,100,500,57.54999999999992,-248.0000000000003,-95.225,41.99999999999986,-217.80000000000013,-87.90000000000006
2,12,500,2.0,100,500,46.999999999999844,-398.0,-175.49999999999986,50.99999999999985,-406.00000000000057,-177.50000000000017
2,13,271,0.0,100,500,43.54999999999992,-159.0,-57.72500000000004,55.999999999999964,-184.8,-64.39999999999996
2,14,457,0.0,100,500,47.999999999999794,-354.8000000000001,-153.40000000000006,51.54999999999991,-361.0000000000003,-154.72499999999997
