seed,episode,total_steps,resource_remaining,initial_resources,max_steps,total_personal_reward_0,total_personal_reward_1,total_empathic_reward_0,total_empathic_reward_1,total_combined_reward_0,total_combined_reward_1
0,0,376,0.0,100,500,54.94999999999982,-287.80000000000024,-116.42499999999991,44.54999999999993,-266.2000000000005,-110.82500000000014
0,1,341,0.0,100,500,47.54999999999992,-237.00000000000009,-94.72500000000005,51.99999999999995,-246.79999999999995,-97.39999999999992
0,2,431,0.0,100,500,51.54999999999986,-334.9999999999999,-141.725,47.99999999999988,-328.8000000000001,-140.4
0,3,500,1.0,100,500,51.99999999999991,-406.00000000000017,-177.00000000000006,46.99999999999987,-396.0000000000004,-174.49999999999994
0,4,341,0.0,100,500,51.349999999999895,-244.99999999999994,-96.82499999999992,47.999999999999886,-239.60000000000028,-95.80000000000008
0,5,329,0.0,100,500,51.999999999999766,-234.80000000000007,-91.40000000000009,47.549999999999905,-225.00000000000006,-88.72499999999991
0,6,200,0.0,100,500,48.55,-97.99999999999991,-24.72500000000001,50.99999999999994,-103.79999999999994,-26.400000000000002
0,7,304,0.0,100,500,42.99999999999991,-191.79999999999995,-74.39999999999999,56.549999999999976,-217.9999999999999,-80.72500000000001
0,8,251,0.0,100,500,42.549999999999926,-137.0,-47.22499999999999,56.99999999999993,-166.79999999999984,-54.9
0,9,280,0.0,100,500,46.349999999999795,-174.00000000000006,-63.82500000000005,52.99999999999993,-188.6000000000003,-67.79999999999997
0,10,500,1.0,100,500,59.999999999999844,-422.0,-180.99999999999974,38.99999999999991,-380.00000000000045,-170.50000000000017
0,11,437,0.0,100,500,46.999999999999844,-332.8000000000001,-142.90000000000006,52.549999999999805,-343.0,-145.22499999999994
0,12,305,0.0,100,500,46.54999999999984,-198.99999999999997,-76.22499999999995,52.999999999999915,-212.8000000000001,-79.90000000000006
0,13,466,0.0,100,500,45.54999999999993,-358.0,-156.225,53.999999999999886,-375.79999999999995,-160.9
0,14,332,0.0,100,500,69.54999999999988,-272.0,-101.22500000000002,30.00000000000003,-193.7999999999999,-81.89999999999998
